IDIndikator;Indikator;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
2403040103IND01;Average net earnings;RS110;Beogradska oblast;202511;2025/november;139234;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202412;2024/december;91347;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202501;2025/january;93799;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202502;2025/february;90974;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202503;2025/march;91923;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202504;2025/april;94793;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202505;2025/may;94708;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202506;2025/june;92370;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202507;2025/july;93717;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202508;2025/august;92300;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202509;2025/september;94330;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202510;2025/october;96567;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70092;Barajevo;202511;2025/november;98615;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202412;2024/december;146419;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202501;2025/january;138734;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202502;2025/february;135870;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202503;2025/march;144956;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202504;2025/april;143906;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202505;2025/may;138307;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202506;2025/june;139453;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202507;2025/july;140644;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202508;2025/august;136520;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202509;2025/september;140790;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202510;2025/october;141856;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70106;Voždovac;202511;2025/november;145046;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202412;2024/december;188864;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202501;2025/january;176862;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202502;2025/february;173496;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202503;2025/march;187205;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202504;2025/april;186892;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202505;2025/may;175012;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202506;2025/june;177199;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202507;2025/july;186197;A;Normal value;F;Free (free for publication);RSD;RSD
2403040103IND01;Average net earnings;70114;Vračar;202508;2025/august;174560;A;Normal value;F;Free (free for publication);RSD;RSD
