element,osmid,leisure,sport,covered,int_name,name,name:sr,name:sr-Latn,addr:floor,length,location,swimming_pool,access,start_date,source,description,lit,operator,content,type,candidate_source,index,area,name:en,website,amenity,bath:open_air,bath:sand_bath,fee,wikipedia,wikidata,bath:type,shower,alt_name,contact:instagram,opening_hours,phone,addr:place,addr:postcode,designation,addr:city,addr:housenumber,addr:street,check_date,wheelchair,operator:type,name:ru,alt_name:sr,alt_name:sr-Latn,email,level,addr:suburb,building,building:levels,ref:RS:kucni_broj,barrier,old_name,old_name:en,old_name:sr,old_name:sr-Latn,wikimedia_commons,year_of_construction,internet_access,roof:direction,roof:shape,layer,contact:facebook,contact:twitter,surface,old_addr:housenumber,old_addr:street,nohousenumber,fax,man_made,outdoor,tower:type,climbing:boulder,contact:phone,shooting,addr:housename,image,name:de,note,club,outdoor_seating,rental,mobile,fitness_station,entrance,addr:pak,addr:country,contact:website,personal_trainer,sauna,check_date:opening_hours,addr:level,contact:linkedin,contact:youtube,internet_access:fee,payment:cash,payment:credit_cards,payment:debit_cards,payment:cards,index_right,venue_type,venue_name,venue_dist_m,is_municipal,name_normalized,access_value,exclude_private_access,pool_type,geometry_orig_wkt,lon,lat
way,1016632010.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.807916 44.487175, 20.807952 44.487187, 20.807988 44.487133, 20.807952 44.487121, 20.807916 44.487175))",20.807952049999997,44.48715369999999
way,1020009765.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.71009 44.534815, 20.710132 44.534826, 20.710161 44.534766, 20.710119 44.534755, 20.71009 44.534815))",20.7101255898824,44.53479049999999
way,1026702613.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.603539 44.452624, 20.603571 44.452641, 20.603621 44.452663, 20.603646 44.452676, 20.603666 44.45269, 20.603676 44.452693, 20.603699 44.452685, 20.603717 44.452668, 20.603774 44.452573, 20.603689 44.452544, 20.603694 44.452536, 20.603641 44.452511, 20.60362 44.452498, 20.603579 44.452501, 20.603563 44.45252, 20.60355 44.452548, 20.603541 44.452573, 20.603538 44.452583, 20.603539 44.452624))",20.603647182635207,44.45260345
way,1026702614.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,False,,"POLYGON ((20.603265 44.45261, 20.6034 44.452627, 20.603425 44.452527, 20.603405 44.452524, 20.603411 44.4525, 20.603311 44.452487, 20.603304 44.452516, 20.603289 44.452514, 20.603265 44.45261))",20.603344903850825,44.45256815
way,1072085857.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0,waterpark,Hollywoodland Aquapark,23.918479700347397,False,,,False,waterpark,"POLYGON ((20.343522 44.801121, 20.343552 44.801032, 20.343712 44.80106, 20.343739 44.800979, 20.343585 44.800953, 20.343614 44.800868, 20.344066 44.800946, 20.344037 44.80103, 20.34387 44.801002, 20.343842 44.801084, 20.344022 44.801115, 20.343992 44.801203, 20.343522 44.801121))",20.343785907814087,44.80104585
way,1072085875.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,hotel,Hotel Hollywoodland,15.471333355714474,False,,,False,hotel,"POLYGON ((20.343103 44.801472, 20.342882 44.801433, 20.342863 44.801414, 20.342861 44.801394, 20.342869 44.801376, 20.342882 44.801364, 20.342901 44.801362, 20.343125 44.801405, 20.343146 44.801417, 20.343157 44.801436, 20.343149 44.80145, 20.343128 44.801468, 20.343103 44.801472))",20.343012421491338,44.80142514999999
way,1115184015.0,swimming_pool,,,,,,,,,,,,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.0,sports_centre,,38.05007039098019,False,,,False,sports_centre,"POLYGON ((20.251792 44.38306, 20.251894 44.383063, 20.251896 44.383016, 20.251794 44.383014, 20.251792 44.38306))",20.25184375,44.38303804999999
way,1224606184.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.451615 44.782462, 20.451572 44.782403, 20.451611 44.782389, 20.451654 44.782448, 20.451615 44.782462))",20.451612830954396,44.782425450000005
way,1224606185.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.453652 44.781848, 20.453601 44.781802, 20.453778 44.781703, 20.453829 44.781749, 20.453652 44.781848))",20.453714837496868,44.78177529999999
way,1224606186.0,swimming_pool,,,,,,,,,,,private,,osm,,,,,,leisure=swimming_pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,private,True,,"POLYGON ((20.452351 44.782428, 20.452312 44.782384, 20.452441 44.782327, 20.45248 44.782371, 20.452351 44.782428))",20.452395950000007,44.78237744999999
