iter	Logloss
0	0.3817739407
1	0.3323233825
2	0.3111194219
3	0.2990034323
4	0.2831440759
5	0.272813253
6	0.2712085913
7	0.2669166786
8	0.2629020305
9	0.2578068406
10	0.2548660336
11	0.2508119528
12	0.2353543404
13	0.2320795892
14	0.2214175976
15	0.2062209365
16	0.198971836
17	0.1943955081
18	0.1804192078
19	0.1688255041
20	0.1599727662
21	0.155021244
22	0.1437872081
23	0.1335349653
24	0.1245415251
25	0.1187101177
26	0.1160628565
27	0.1098123634
28	0.1046699931
29	0.102603072
30	0.1003469981
31	0.1001482508
32	0.1001254216
33	0.100106115
34	0.1000897967
35	0.1000760482
36	0.1000562939
37	0.1000414579
38	0.100028826
39	0.09480335842
40	0.09082188901
41	0.08676404494
42	0.08377530188
43	0.07972890939
44	0.07899108045
45	0.07808245274
46	0.0757564364
47	0.07398885985
48	0.07248443806
49	0.07022485516
50	0.06866960184
51	0.0667959097
52	0.06415130655
53	0.0620709784
54	0.0600949393
55	0.05828713333
56	0.0578433108
57	0.05784325158
58	0.0578393022
59	0.05783500557
60	0.05668173813
61	0.05567196243
62	0.0547267516
63	0.05383247579
64	0.05280096766
65	0.05262448801
66	0.05165153238
67	0.05034858668
68	0.04826552813
69	0.04826501493
70	0.04815796657
71	0.04677455674
72	0.04518832972
73	0.04401434543
74	0.04346182499
75	0.04240964024
76	0.041569226
77	0.04113879885
78	0.04113343396
79	0.0411333825
80	0.04113289591
81	0.04113255993
82	0.04112977091
83	0.0407153569
84	0.03984999261
85	0.03884697481
86	0.03806360005
87	0.0379396004
88	0.03793115685
89	0.03696944614
90	0.03639249064
91	0.03511170596
92	0.03460198386
93	0.03425993561
94	0.03374407894
95	0.03367372979
96	0.033673103
97	0.03366793352
98	0.03366793002
99	0.03366741704
100	0.03366397705
101	0.03300898371
102	0.03285696839
103	0.03219745928
104	0.03216725385
105	0.03173981167
106	0.03140925632
107	0.03140915177
108	0.03140904504
109	0.03140472102
110	0.03140092465
111	0.03138672294
112	0.03138303149
113	0.03138264925
114	0.03137620412
115	0.03137611199
116	0.03137318729
117	0.03104203902
118	0.03037330757
119	0.02982599337
120	0.02946330926
121	0.02937598601
122	0.02937597649
123	0.02937206883
124	0.02937192893
125	0.02937181863
126	0.02937144594
127	0.02937032073
128	0.02936932986
129	0.02936932939
130	0.02936922706
131	0.02936907658
132	0.02936897884
133	0.02936806817
134	0.02936798208
135	0.02936797727
136	0.02936785746
137	0.02936785307
138	0.02936783427
139	0.02936710743
140	0.02936706695
141	0.0293663258
142	0.02933417418
143	0.02933414655
144	0.02933394353
145	0.02933388824
146	0.02890548121
147	0.0282704539
148	0.02770921019
149	0.02727769148
150	0.02706644561
151	0.02662016413
152	0.02635934222
153	0.02628380113
154	0.02628376508
155	0.02628357982
156	0.02628356972
157	0.02628345871
158	0.02628339309
159	0.02628332419
160	0.02628269478
161	0.02628212595
162	0.02565535313
163	0.02496658896
164	0.02461810974
165	0.02412877508
166	0.02404258553
167	0.02404255157
168	0.02404247471
169	0.02404230804
170	0.02404230402
171	0.02404219844
