iter	Passed	Remaining
291	192710	137272
292	193173	136473
293	193701	135722
294	194210	134960
295	194909	134329
296	195451	133591
297	195868	132770
298	196362	132002
299	197174	131449
300	197705	130709
301	198116	129891
302	198792	129248
303	199284	128485
304	199762	127717
305	200203	126926
306	200651	126142
307	201323	125500
308	202001	124861
309	202415	124061
310	203068	123407
311	203747	122771
312	204192	121993
313	204713	121263
314	205129	120472
315	205549	119687
316	205995	118918
317	206599	118242
318	207054	117482
319	207474	116704
320	207933	115950
321	208332	115165
322	208845	114444
323	209268	113676
324	209707	112919
325	210188	112186
326	210707	111475
327	211170	110735
328	212012	110195
329	212770	109609
330	213457	108986
331	214118	108349
332	214500	107572
333	214913	106813
334	215400	106092
335	215857	105358
336	216522	104727
337	217250	104125
338	217928	103500
339	218580	102861
340	219085	102154
341	219499	101406
342	219890	100649
343	220364	99932
344	220772	99187
345	221169	98439
346	221570	97695
347	222039	96982
348	222529	96280
349	223189	95652
350	223840	95020
351	224503	94393
352	225199	93779
353	225874	93157
354	226577	92545
355	226986	91814
356	227430	91099
357	227840	90372
358	228289	89662
359	228770	88966
360	229168	88239
361	229568	87514
362	229975	86795
363	230418	86090
364	231063	85462
365	231755	84850
366	232183	84142
367	232835	83517
368	233237	82802
369	233651	82093
370	234053	81382
371	234495	80686
372	235002	80014
373	235420	79312
374	235847	78615
375	236495	77993
376	236893	77288
377	237549	76669
378	238202	76048
379	238860	75429
380	239556	74822
381	240260	74216
382	240892	73588
383	241311	72896
384	241724	72203
385	242105	71502
386	242587	70833
387	242996	70143
388	243378	69447
389	243785	68759
390	244174	68069
391	244585	67385
392	244957	66693
393	245493	66046
394	245936	65375
395	246366	64702
396	246860	64046
397	247455	63418
398	247874	62745
399	248322	62080
400	248736	61408
401	249402	60799
402	249798	60125
403	250186	59450
404	250819	58834
405	251234	58167
406	251597	57490
407	252288	56888
408	252956	56281
409	253347	55612
410	254014	55005
411	254673	54396
412	255357	53792
413	256119	53203
414	256788	52595
415	257445	51984
416	257988	51350
417	258581	50726
418	259051	50079
419	259454	49419
420	259839	48758
421	260491	48147
422	260925	47497
423	261446	46863
424	262103	46253
425	262741	45640
426	263390	45029
427	263799	44377
428	264191	43723
429	264659	43084
430	265237	42462
431	265622	41810
432	266254	41198
433	266899	40588
434	267525	39975
435	267945	39331
436	268358	38687
437	268799	38049
438	269209	37407
439	269869	36800
440	270404	36176
441	270870	35544
442	271461	34928
443	272142	34324
444	272782	33714
445	273346	33095
446	273869	32472
447	274511	31862
448	275194	31258
449	275615	30623
450	276044	29991
451	276723	29386
452	277139	28754
453	277813	28148
454	278337	27527
455	278842	26905
456	279234	26273
457	279650	25644
458	280041	25014
459	280474	24389
460	280906	23764
461	281290	23136
462	281699	22511
463	282322	21904
464	282725	21280
465	283114	20656
466	283501	20033
467	283904	19412
468	284314	18792
469	284732	18174
470	285119	17555
471	285524	16937
472	285977	16324
473	286379	15708
474	286778	15093
475	287172	14479
476	287553	13865
477	287934	13252
478	288346	12641
479	288780	12032
480	289172	11422
481	289563	10813
482	289943	10205
483	290400	9600
484	290863	8995
485	291325	8392
486	291726	7787
487	292219	7185
488	292697	6584
489	293128	5982
490	293659	5382
491	294111	4782
492	294797	4185
493	295254	3586
494	295890	2988
495	296343	2389
496	296718	1791
497	297157	1193
498	297542	596
499	297954	0
